Date,sentiment_score,positive_ratio,negative_ratio,discussion_volume
2020-12-31,-0.25,0.25,0.75,4
2021-01-01,2.4375,0.25,0.75,4
2021-01-04,4.905,0.4821,0.5179,28
2021-01-05,5.5685,0.6211,0.3789,50
2021-01-06,4.9991,0.5918,0.4082,32
2021-01-07,4.7189,0.653,0.347,28
2021-01-08,10.8007,0.7459,0.2541,31
2021-01-11,9.748,0.7418,0.2582,61
2021-01-12,7.323,0.728,0.272,28
2021-01-13,3.7815,0.564,0.436,20
2021-01-14,3.6097,0.5775,0.4225,22
2021-01-15,4.2291,0.6221,0.3779,33
2021-01-18,5.9926,0.6944,0.3056,60
2021-01-19,5.4929,0.7176,0.2824,27
2021-01-20,2.8487,0.6088,0.3912,22
2021-01-21,4.9869,0.6794,0.3206,20
2021-01-22,3.7168,0.6314,0.3686,36
2021-01-25,4.6709,0.6907,0.3093,52
2021-01-26,3.3012,0.6416,0.3584,54
2021-01-27,3.1433,0.6697,0.3303,43
2021-01-28,2.8514,0.6407,0.3593,103
2021-01-29,3.0671,0.6442,0.3558,88
2021-02-01,5.0769,0.6909,0.3091,61
2021-02-02,3.4793,0.6255,0.3745,25
2021-02-03,4.561,0.6506,0.3494,37
2021-02-04,4.464,0.6714,0.3286,26
2021-02-05,6.8986,0.7357,0.2643,15
2021-02-08,9.9071,0.8073,0.1927,33
2021-02-09,7.6182,0.714,0.286,29
2021-02-10,4.3186,0.5961,0.4039,23
2021-02-11,4.6389,0.6195,0.3805,14
2021-02-12,4.9594,0.6097,0.3903,5
2021-02-15,7.2868,0.6938,0.3062,36
2021-02-16,7.059,0.7173,0.2827,27
2021-02-17,2.941,0.5994,0.4006,27
2021-02-18,2.6605,0.5997,0.4003,30
2021-02-19,3.8954,0.6268,0.3732,26
2021-02-22,4.8711,0.6689,0.3311,45
2021-02-23,4.8156,0.6845,0.3155,20
2021-02-24,4.3079,0.6805,0.3195,34
2021-02-25,5.775,0.752,0.248,34
2021-02-26,3.8365,0.6341,0.3659,31
2021-03-01,4.1093,0.667,0.333,100
2021-03-02,6.2847,0.6989,0.3011,26
2021-03-03,5.8337,0.6828,0.3172,27
2021-03-04,5.448,0.681,0.319,53
2021-03-05,4.6628,0.6977,0.3023,28
2021-03-08,2.7116,0.6467,0.3533,47
2021-03-09,1.901,0.5789,0.4211,45
2021-03-10,2.9742,0.6356,0.3644,26
2021-03-11,7.9038,0.7761,0.2239,12
2021-03-12,4.8517,0.6835,0.3165,22
2021-03-15,7.7767,0.7222,0.2778,46
2021-03-16,4.7812,0.6587,0.3413,42
2021-03-17,4.3719,0.6865,0.3135,42
2021-03-18,5.6794,0.729,0.271,35
2021-03-19,4.6337,0.7249,0.2751,43
2021-03-22,2.6032,0.6072,0.3928,47
2021-03-23,2.5559,0.6277,0.3723,54
2021-03-24,1.3611,0.6023,0.3977,52
2021-03-25,2.4125,0.6595,0.3405,60
2021-03-26,6.189,0.7709,0.2291,34
2021-03-29,7.1451,0.7505,0.2495,63
2021-03-30,5.0793,0.7008,0.2992,43
2021-03-31,2.8888,0.6459,0.3541,110
2021-04-01,3.2069,0.6229,0.3771,40
2021-04-02,5.5201,0.6448,0.3552,12
2021-04-05,4.4824,0.6147,0.3853,65
2021-04-06,8.1263,0.6758,0.3242,38
2021-04-07,7.177,0.6915,0.3085,41
2021-04-08,7.1596,0.6992,0.3008,58
2021-04-09,6.7455,0.7033,0.2967,41
2021-04-12,4.8049,0.626,0.374,82
2021-04-13,3.2975,0.624,0.376,82
2021-04-14,5.2581,0.687,0.313,72
2021-04-15,6.479,0.7492,0.2508,53
2021-04-16,5.3753,0.7079,0.2921,27
2021-04-19,2.7353,0.604,0.396,42
2021-04-20,5.5526,0.6895,0.3105,40
2021-04-21,3.0385,0.5705,0.4295,31
2021-04-22,4.988,0.6327,0.3673,59
2021-04-23,5.5763,0.7053,0.2947,54
2021-04-26,4.5173,0.6958,0.3042,51
2021-04-27,3.2793,0.6433,0.3567,44
2021-04-28,5.0717,0.7005,0.2995,33
2021-04-29,5.621,0.7055,0.2945,38
2021-04-30,7.0055,0.6631,0.3369,29
2021-05-03,4.2554,0.6159,0.3841,51
2021-05-04,5.8881,0.7027,0.2973,19
2021-05-05,6.5143,0.7604,0.2396,22
2021-05-06,5.202,0.7189,0.2811,31
2021-05-07,5.7828,0.6776,0.3224,22
2021-05-10,5.1149,0.6319,0.3681,29
2021-05-11,4.5062,0.6844,0.3156,38
2021-05-12,6.105,0.7866,0.2134,9
2021-05-13,8.5525,0.8933,0.1067,4
2021-05-14,4.9429,0.78,0.22,3
2021-05-17,2.6581,0.6233,0.3767,30
2021-05-18,0.6135,0.5081,0.4919,28
2021-05-19,0.9637,0.5472,0.4528,58
2021-05-20,0.9317,0.5791,0.4209,36
2021-05-21,4.2258,0.5896,0.4104,30
2021-05-24,2.6314,0.5864,0.4136,36
2021-05-25,5.2517,0.6756,0.3244,17
2021-05-26,11.9592,0.8378,0.1622,6
2021-05-27,6.4003,0.6792,0.3208,73
2021-05-28,2.785,0.5654,0.4346,31
2021-05-31,3.9309,0.6288,0.3712,39
2021-06-01,4.2155,0.6894,0.3106,4
2021-06-02,6.6371,0.7304,0.2696,35
2021-06-03,4.8708,0.7031,0.2969,37
2021-06-04,4.5036,0.6697,0.3303,22
2021-06-07,4.272,0.6682,0.3318,33
2021-06-08,3.3076,0.6802,0.3198,13
2021-06-09,5.0618,0.7401,0.2599,25
2021-06-10,7.9984,0.7931,0.2069,26
2021-06-11,5.082,0.6273,0.3727,26
2021-06-14,4.9482,0.6537,0.3463,25
2021-06-15,4.5308,0.6747,0.3253,23
2021-06-16,4.081,0.654,0.346,30
2021-06-17,4.9308,0.7199,0.2801,14
2021-06-18,3.3214,0.6007,0.3993,27
2021-06-21,2.5586,0.586,0.414,28
2021-06-22,1.5993,0.5825,0.4175,19
2021-06-23,2.3157,0.5844,0.4156,29
2021-06-24,2.5207,0.608,0.392,19
2021-06-25,5.2112,0.717,0.283,23
