Date,sentiment_score,positive_ratio,negative_ratio,discussion_volume
2020-12-31,-0.0,0.0,1.0,4
2021-01-01,-0.0,0.0,1.0,4
2021-01-04,-0.0,0.0,1.0,33
2021-01-05,-0.0,0.0,1.0,65
2021-01-06,-0.0,0.0,1.0,35
2021-01-07,-0.0,0.0,1.0,33
2021-01-08,-0.0,0.0,1.0,35
2021-01-11,-0.0,0.0,1.0,78
2021-01-12,-0.0,0.0,1.0,34
2021-01-13,-0.0,0.0,1.0,25
2021-01-14,-0.0,0.0,1.0,24
2021-01-15,-0.0,0.0,1.0,37
2021-01-18,-0.0,0.0,1.0,72
2021-01-19,-0.0,0.0,1.0,31
2021-01-20,-0.0,0.0,1.0,25
2021-01-21,-0.0,0.0,1.0,24
2021-01-22,-0.018,0.0208,0.9792,48
2021-01-25,-0.0166,0.0186,0.9814,61
2021-01-26,-0.0151,0.0166,0.9834,69
2021-01-27,-0.0237,0.0268,0.9732,54
2021-01-28,-0.0118,0.0134,0.9866,124
2021-01-29,-0.0059,0.0067,0.9933,104
2021-02-01,-0.003,0.0033,0.9967,69
2021-02-02,-0.015,0.0173,0.9827,32
2021-02-03,-0.018,0.0203,0.9797,43
2021-02-04,-0.0241,0.0274,0.9726,29
2021-02-05,-0.0397,0.047,0.953,15
2021-02-08,-0.0318,0.0363,0.9637,39
2021-02-09,-0.0159,0.0182,0.9818,32
2021-02-10,-0.008,0.0091,0.9909,29
2021-02-11,-0.004,0.0045,0.9955,21
2021-02-12,-0.002,0.0023,0.9977,5
2021-02-15,-0.001,0.0011,0.9989,44
2021-02-16,-0.0137,0.0157,0.9843,33
2021-02-17,-0.0069,0.0079,0.9921,30
2021-02-18,-0.0153,0.0171,0.9829,38
2021-02-19,-0.0077,0.0085,0.9915,36
2021-02-22,-0.013,0.0143,0.9857,50
2021-02-23,-0.0065,0.0071,0.9929,26
2021-02-24,-0.0033,0.0036,0.9964,39
2021-02-25,-0.0016,0.0018,0.9982,36
2021-02-26,-0.0115,0.0128,0.9872,42
2021-03-01,-0.0058,0.0064,0.9936,122
2021-03-02,-0.0029,0.0032,0.9968,33
2021-03-03,-0.027,0.0319,0.9681,33
2021-03-04,-0.028,0.0323,0.9677,61
2021-03-05,-0.0271,0.0309,0.9691,34
