No,Post Content,InSet Lexicon,IndoBERT (Transformer),Lexicon Score,Match Status
1,$BBCA hartono bersodara mana nih woy😂🤣🤣😂😂,Netral (0),Netral (0),0.0,SAMA ✅
2,$BBCA yg lain pada naik contohnya $AADI $ADRO ini big bank pada knp dah 🤣,Negatif (-1),Netral (0),-10.0,BEDA ⚠️
3,"$BBCA kesini bang market mo crash , ngoahahahah",Negatif (-1),Negatif (-1),-4.0,SAMA ✅
4,"@Stiawanz untuk $BBCA 
silahkan lihat di charts ya detil nya",Positif (+1),Positif (+1),10.0,SAMA ✅
5,@BagasHerlambang kalo gitu $BBCA jauh lbh parah didistribusi KZ habis2an,Negatif (-1),Netral (0),-7.0,BEDA ⚠️
6,"$BBCA dah kepala 4, bentar lagi $IHSG juga kepala 4",Negatif (-1),Netral (0),-6.0,BEDA ⚠️
7,"KABARBURSA.COM – Sepekan pergerakan saham big banks memperlihatkan saham Bank Central Asia (BBCA) melakukan akumulasi asing yang cukup signifikan. Sementara, Bank Rakyat Indonesia (BBRI) dan Bank Mandiri (BMRI) mulai kehilangan tenaga setelah reli yang sempat terjadi di awal pekan.
Data perdaganga...",Negatif (-1),Negatif (-1),-13.0,SAMA ✅
8,@Rizalaziz13 maksud gw ini $BBCA sampe tembus kebawah apa gara2 pemerintah vs oligarki jadi investor asing gak percaya lagi invest di indo?,Positif (+1),Negatif (-1),5.0,BEDA ⚠️
9,"$BBCA Sudah hampir harga bagus lagi nich. Siap2 utk belanja. Yg kemaren2 ga yakin, bgmana pendapatnya sekarang? Semoga masih baik2 aja ya. Jaga kesehatan. Anyway, sebenarnya masih menunggu bottom secara konflik Iran vs Israel/USA masih akan memanas. Where’s the bottom? I don’t know. I don’t have crystal ball. Let’s watch and see. 🤑",Positif (+1),Positif (+1),2.0,SAMA ✅
10,"$BBCA $BBRI $BMRI

borong ya 3 saham ini,,

https://edition.cnn.com/business/live-news/federal-reserve-interest-rate-09-17-25

Fed set to announce first rate cut in nine months..

https://www.cnbcindonesia.com/market/20250917144201-17-667797/bi-turunkan-suku-bunga-deposit-facility-50-bps-jadi-375


BI RATE  TURUN...",Positif (+1),Negatif (-1),6.0,BEDA ⚠️
11,"Gak jadi terbang, porto ku dipermainkan bandar $BBRI $BBCA",Positif (+1),Netral (0),1.0,BEDA ⚠️
12,"Banyak investor ritel nyangkut di $BBRI . Lalu, banyak juga yang ledekin orang yang nyerok BBRI di harga saat ini? Apakah salah beli saham BBRI saat ini?

Sebenarnya sesuai sudut pandang rencana-mu di BBRI:

1. Jika.... kamu masuk BBRI dengan tujuan untuk trading, jelas sekarang bukan waktu yang tepat. Belum ada konfirmasi kenaikan harga yang lebih pasti. 

2. Jika.... kamu mau hold BBRI hingga 3-5 tahun ke depan, jelas saat ini waktu yang tepat karena mumpung harganya murah. (ngapain hold lama-lama? ya bisa untuk tujuan keuangan jangka panjang). 

Memang nggak takut BBRI bangkrut? kan NPL-nya besar tuh? 

Jika dilihat secara fundamental BBRI, saat ini saham big bank itu memang mengalami perlambatan kinerja dengan kondisi kualitas kredit yang memburuk. Namun, hal ini masih wajar mengingat kondisi makro ekonomi yang kurang bagus mulai dari:
1. Inflasi rendah banget
2. Suku bunga BI turunnya lama banget
3. APBN defisit (bikin investor asing wait and see net buy banyak-banyak di Indo)

Saham big bank itu punya korelasi kuat dengan makro ekonomi. Jika makro ekonomi memburuk, ya saham big bank lesu, sebaliknya saat ekonomi membaik, ya saham big bank yang paling nge-gas. 

Mau tau hitungan pemulihan saham BBRI? cek selengkapnya di sini: https://www.mikirduit.com/menghitung-harga-bottom-saham-bbri-yang-sudah-di-bawah-rp4000/

$BBCA $BMRI",Positif (+1),Positif (+1),2.0,SAMA ✅
13,$BBCA gajelas luwh,Netral (0),Netral (0),0.0,SAMA ✅
14,"Thanks $BBCA
Terus no ae sampek awal tahun",Positif (+1),Positif (+1),2.0,SAMA ✅
15,$BBCA 2 tahun lagi . profitnya bakal melampau $BBRI $BMRI. dan menjadi emiten yg paling tinggi net profitnya di IHSG,Negatif (-1),Negatif (-1),-4.0,SAMA ✅
16,"$BBCA merah bandar volume ijo, masuk.. bandar masuk.. #DicopyGanti",Negatif (-1),Netral (0),-2.5,BEDA ⚠️
17,$BBCA camon.. ferrariku.,Netral (0),Netral (0),0.0,SAMA ✅
18,$BBCA $BBNI $BBRI lho kalian ga ikut party?😂,Positif (+1),Netral (0),3.0,BEDA ⚠️
19,"IHSG atau Indeks Harga Saham Gabungan diprediksi menguat pada perdagangan Selasa (14/5). Analis merekomendasikan saham BCA atau BBCA hingga Antam alias ANTM.Phintraco Sekuritas menyatakan, sentimen positif utama IHSG saat ini berasal dari realisasi Indeks Keyakinan Konsumen atau IKK Indonesia yang n...",Negatif (-1),Negatif (-1),-16.0,SAMA ✅
20,@Singkarek mungkin dia habis di pecat dari bca karena kelakuan dia itu. dendam banget dia sama $BBCA 🤣,Negatif (-1),Negatif (-1),-19.0,SAMA ✅
