No,id,created_at,content,cleaned_content,Inset_Label,Inset_Score,IndoBERT_Label,IndoBERT_Confidence,Status_Kesesuaian,Manual_Label
1,18046873,2025-03-26 09:32:49,"$BBCA
Raksasa bangkit..",raksasa bangkit,Positif (+1),2.0,Negatif (-1),0.5166,BEDA ⚠️,
2,8657784,2022-05-19 13:29:29,@RUJITO msh kokoh fundamental $BBCA sma people trust jd smntra aman bg 🤭,msh kokoh fundamental sma people trust jd smntra aman bg,Negatif (-1),-4.0,Negatif (-1),0.4326,SAMA ✅,
3,21984092,2025-10-09 15:45:17,"$CBRE Kalo asing keluar terus sisa MG doang wahai kalian warga XL XC itu warning karena udah gada yang angkat tu emiten,MG kok di temenin MG guyur ambrol kalian yang HAKA tadi😂😂😂herman gw KAPAL lu noh bocor MG udah kabur pake sekoci elu pada XL XC pada punya pelampung kagak😂😂😂😂🤣😂🤣😂😂🤣😂makan tuh kapal tenggelam 
🤭🤭😭😭😂😂$BBCA $BBRI",kalo asing sisa mg doang warga xl xc warning gada angkat tu emiten mg temenin mg jual turun ambrol beli herman gw kapal lu noh bocor mg kabur pake sekoci elu xl xc pelampung kagak makan tuh kapal turun rugi turun rugi turun,Negatif (-1),-31.0,Negatif (-1),0.4296,SAMA ✅,
4,31422834,2026-05-08 07:04:21,"@exebit27 

Kasus2 psoriasis dan neurodermatitis dimana fokal infeksi nya melalui CSF dan tidak melalui fokus infeksi di pembuluh darah dekat LMN, mungkin ini yg menyebabkan PUSTULAR PSORIASIS.

$BBNI $BBCA $BBRI",psoriasis neurodermatitis dimana fokal infeksi nya csf tidak fokus infeksi pembuluh darah lmn yg menyebabkan pustular psoriasis,Positif (+1),1.0,Negatif (-1),0.5021,BEDA ⚠️,
5,25258787,2025-12-22 08:01:37,"Guys, sering denger istilah hedge fund, private equity & venture capital gak? Istilah ini sering banget muncul ketika ada aksi korporasi tertentu dari sebuah perusahaan baik yg belum listing di bursa atau perusahaan2 besar yg sudah lama listing, yuk kita coba cari tau, sebenarnya mereka itu apa sih..???

1. Hedge Fund
Biasa kita sebut sebagai “Trader kelas kakap”
Intinya:
Hedge fund itu kumpulan duit orang super kaya yang dikelola buat cari untung cepat & fleksibel.
Apa yg bisa mereka lakukan?
- Beli saham
- Jual saham (bahkan jual dulu baru beli = short selling)
- Main obligasi, emas, dollar, komoditas
- Untung saat pasar naik ATAU turun
Tujuan utama cuma satu yaitu:
CUAN, gak peduli perusahaan bagus atau jelek.

Contohnya:
Hedge fund asing biasanya main di saham yg punya liquiditas besar, contohnya:
$BBCA $BBRI $BMRI

Kalau tiba-tiba:
Asing masuk besar → harga melonjak
Asing keluar cepat → harga jeblok

2. Private Equity (PE) 
“Investor tukang bongkar & bangun perusahaan”
Intinya:
- Masuk ke perusahaan yang SUDAH besar tapi belum maksimal
- Biasanya belinya banyak / sampai pegang kendali
- Dibenahi manajemennya
- Dibesarkan
- Dijual lagi lebih mahal
- Main jangka panjang (5–10 tahun)

Bayangkan misalnya begini:
Ada pabrik mie yang jalan tapi kurang rapi manajemennya
Investor masuk, benahi sistem, tambah cabang
5 tahun kemudian dijual 2–3x lipat
Nah Itu Private Equity
Contoh di saham IHSG
SRAJ (Mayapada Healthcare)
- Dapat suntikan modal besar dari investor global
- Rumah sakit diperluas
- Sahamnya ikut terdampak sentimen positif 
Biasanya:
- Saham PE tidak sering naik-turun
- Tapi lonjakannya besar saat ada aksi korporasi

3. Venture Capital (VC)
Spesialis “Investor startup / perusahaan bayi”
Intinya:
- Masuk ke perusahaan kecil / startup
- Bisnisnya belum tentu untung
- Tapi punya potensi besar
Prinsip VC:
Jika 10 gagal → 1 sukses → nutup semua kerugian
Contoh sehari-hari
Bayangkan:
Kamu modalin usaha kopi temen
Masih rugi, tapi konsepnya keren
5 tahun kemudian jadi perusahaan franchise nasional

Contoh di Indonesia (biar kebayang)
Gojek, Tokopedia dulu → VC
Setelah besar → IPO → jadi saham (contoh: GOTO)

Ciri saham bekas VC:
- Fluktuasi besar
- Cerita masa depan kuat
- Profit sering belum stabil

Jangan lupa follow akun ini, utk belajar mengenal istilah dalam Saham secara sederhana 🙂",guys denger istilah hedge fund private equity venture capital tidak istilah banget muncul aksi korporasi perusahaan yg belum listing bursa perusahaan yg listing yuk coba cari tau sih hedge fund trader kelas kakap intinya hedge fund kumpulan duit orang super kaya dikelola cari untung cepat fleksibel yg lakukan beli saham jual saham jual beli short selling main obligasi emas dollar komoditas untung pasar turun tujuan utama untung tidak peduli perusahaan bagus jelek contohnya hedge fund asing main saham yg liquiditas contohnya asing masuk harga melonjak asing cepat harga jeblok private equity pe investor tukang bongkar bangun perusahaan intinya masuk perusahaan belum maksimal belinya pegang kendali dibenahi manajemennya dibesarkan dijual mahal main jangka bayangkan pabrik mie jalan kurang rapi manajemennya investor masuk benahi sistem cabang dijual lipat private equity contoh saham ihsg sraj mayapada healthcare suntikan modal investor global rumah sakit diperluas sahamnya terdampak sentimen positif saham pe tidak turun lonjakannya aksi korporasi venture capital vc spesialis investor startup perusahaan bayi intinya masuk perusahaan startup bisnisnya belum untung potensi prinsip vc jelek rugi sukses nutup kerugian contoh sehari bayangkan modalin usaha kopi temen rugi konsepnya keren perusahaan franchise nasional contoh indonesia biar kebayang gojek tokopedia vc ipo saham contoh goto ciri saham bekas vc fluktuasi cerita kuat untung belum stabil jangan lupa follow akun belajar mengenal istilah saham sederhana,Positif (+1),13.0,Negatif (-1),0.4795,BEDA ⚠️,
6,17590634,2025-02-20 21:25:42,"$PSAB masih kuat ditutup dengan candle hijau di atas garis MA5 dan MA20, 
ditopang dengan volume yang sedikit di atas rata-rata 20 harian.
Target terdekat selanjutnya adalah di resisten 336, +10% dari harga sekarang.
Antisipasi pullback terlebih dahulu ke sekitaran 290, titik terendah di hari kemarin dan support dinamis MA5.
Kalau lancar mungkin bisa ke target selanjutnya di angka psikologis 400, +31% dari harga sekarang.
Cermati sentimen harga emas dan ketidakpastian ekonomi dunia.
Batasi risiko jika harga bergerak turun melebihi 290.

DISCLAIMER ON.
Tulisan ini hanya catatan pribadi untuk mengasah analisis.
Bukan rekomendasi beli dan jual.
Tidak bertanggungjawab terhadap kerugian yang mungkin timbul.
Saya belum tentu beli juga karena modal lagi nyangkut di $BBCA dan $BRIS.",kuat ditutup candle garis ma ma ditopang volume harian target terdekat resisten harga antisipasi pullback sekitaran titik terendah kemarin support dinamis ma lancar target angka psikologis harga cermati sentimen harga emas ketidakpastian ekonomi dunia batasi risiko harga bergerak turun melebihi disclaimer on tulisan catatan pribadi mengasah analisis bukan rekomendasi beli jual tidak bertanggungjawab kerugian timbul belum beli modal rugi,Negatif (-1),-7.0,Negatif (-1),0.5071,SAMA ✅,
7,10000217,2022-11-03 01:05:33,"jual aja semua sisa in $SIDO DAN $BBRI .... hasil jualan nya, beli in saham $BBCA $BMRI dan saham² blue chip",jual aja sisa in hasil jualan nya beli in saham saham blue chip,Positif (+1),4.0,Negatif (-1),0.4445,BEDA ⚠️,
8,9473482,2022-08-30 14:09:59,$BBCA otw 8.500,otw,Netral (0),0.0,Negatif (-1),0.4968,BEDA ⚠️,
9,32880732,2026-06-18 13:54:07,"@HendricRenanta 
Dari data ini, seandainya nanti payment date $BSSR kembali ke harga +-4.000, maka hasil investasi 1 lot (100 lembar) di tahun 2015 di harga 1.100/saham, dan terus di compounding, setelah dividen final ini, akan jadi 578 lembar.
578 x 4.000= 2.312.000

ROI = 2.312.000-110.000 = 2.202.000
bagi 110.000 x100%= +-2.001,8%😱🥰 dalam 10-11 tahun.

Ada berapa emiten yang sanggup kalahkan return BSSR???
Bicara yg investasi ya, kalo bicara emiten judi, lawannya bukan BSSR, tapi buntut Singapore 4 angka. wkwkwk 🤣 😂 

$BBCA $BMRI",data seandainya payment date harga hasil investasi lot lembar harga saham compounding dividen untung final lembar roi emiten sanggup kalahkan return bssr bicara yg investasi ya kalo bicara emiten judi lawannya bukan bssr buntut singapore angka wkwkwk,Positif (+1),17.0,Negatif (-1),0.5153,BEDA ⚠️,
10,13389243,2023-12-27 09:04:07,@mzainalhidayat hit ya ges ya $BBRI$BBCA$BBNI$BMRI,hit ya ges ya,Positif (+1),8.0,Negatif (-1),0.4919,BEDA ⚠️,
