No,id,created_at,content,cleaned_content,Inset_Label,Inset_Score,IndoBERT_Label,IndoBERT_Confidence,Status_Kesesuaian,Manual_Label
1,16603216,2024-12-05 15:16:50,$BBCA akhirnya ada yg ijo di Porto gua walau se gini 😭😭😭,yg porto gua gini rugi turun rugi turun rugi turun,Negatif (-1),-24.0,Negatif (-1),0.406,SAMA ✅,
2,27439934,2026-01-28 10:54:05,"$BBCA  pendapatan 2025 naik dari tahun 2024 tapi saham dibawa turun, ada yg bilang harga bergerak lebih dulu dari fundamental, apa projeksi kedepannya pendapatan bakal turun? ok menarique",pendapatan saham dibawa turun yg bilang harga bergerak fundamental projeksi kedepannya pendapatan turun ok menarique,Negatif (-1),-2.0,Negatif (-1),0.4856,SAMA ✅,
3,30483107,2026-04-17 14:45:09,"Jakarta, CNBC Indonesia - Investor asing mencatatkan net sell sebesar Rp454 miliar pada sesi pertama Jumat (17/4/2026). Data Indo Premier mencatat asing melakukan pembelian bersih jumbo sebesar Rp2,1 triliun, sedangkan penjualan bersih lebih besar lagi sebesar Rp2,6 triliun.
Tekanan jual terlihat pa...",jakarta cnbc indonesia investor asing mencatatkan net sell rp miliar sesi jumat data indo premier mencatat asing pembelian bersih jumbo rp triliun penjualan bersih rp triliun tekanan jual pa,Negatif (-1),-13.0,Negatif (-1),0.5277,SAMA ✅,
4,14154381,2024-03-06 22:45:27,"apa yang akan terjadi?
banyak investor pemula kapok bermain saham dan terjebak disaham gorengan
dan membuat citra saham jadi buruk
$BBRI $BBCA$ALII$CGAS",investor pemula kapok bermain saham terjebak disaham gorengan citra saham buruk,Negatif (-1),-6.0,Negatif (-1),0.4895,SAMA ✅,
5,17512293,2025-02-14 11:42:44,"$IHSG ada tanda-tanda kenaikan.
boleh koleksi big bank $BBCA $BBRI",tanda tanda kenaikan koleksi big bank,Negatif (-1),-3.0,Negatif (-1),0.4943,SAMA ✅,
6,32733736,2026-06-12 15:31:35,"$BBCA $BBNI $BMRI nah haki trus ndar , uda di warning juga , ihsg siap"" 1% atau kuning , kita siap tampung bawah lgi 

bbca 5000
bmri 4000
bbni 3500",jual trus ndar uda warning ihsg kuning tampung lgi bbca bmri bbni,Negatif (-1),-3.0,Negatif (-1),0.4557,SAMA ✅,
7,8639633,2022-05-17 15:51:52,"Ini pasar saham bukan jualan mangga.. Tobat sebelum terlambat.... fundamental membaik tidak selama nya diikuti harga saham yang naik. $BUMI ini bakalan lama sideways di 50 an.. rugi kalian beli.. tidak ada investasi di GCG yang buruk.. mental busuk sampai kapan pun busuk,, cuma cara nyuri nya aja beda... kalian jangan berharap beli bumi auto KAYA.. wkwkw  TOBAT..
$GOTO $BBCA $UNVR",pasar saham bukan jualan mangga tobat terlambat fundamental membaik tidak nya diikuti harga saham tahan an rugi beli tidak investasi gcg buruk mental busuk busuk nyuri nya aja beda jangan berharap beli bumi auto kaya wkwkw tobat,Negatif (-1),-33.0,Negatif (-1),0.4825,SAMA ✅,
8,27528419,2026-01-29 09:27:53,"$BBCA

Pkok e yg ada hubungan sama Indonesia gak ada yg bener, Revolusi 👊",pkok yg hubungan indonesia tidak yg bener revolusi,Negatif (-1),-3.0,Negatif (-1),0.4242,SAMA ✅,
9,15112341,2024-06-27 09:10:03,$BBRI siap2 diprank diakhir sesi. asing masih nett sell untuk saham ini. asing buy malah $BBCA,diprank diakhir sesi asing nett sell saham asing buy,Netral (0),0.0,Negatif (-1),0.5002,BEDA ⚠️,
10,32756626,2026-06-15 08:49:57,"klo pertamax mahal bisa jadi penjualan sepeda, motor, dan mobil listrik bakal naik , tp tergantung daya beli masy juga, masih ada duitnya ga buat beli . btw kapan ya polytron mau IPO? kayaknya bagus prospeknya . $ERAL $SLIS $BBCA",pertamax mahal penjualan sepeda motor mobil listrik untung tergantung daya beli masy duitnya tidak beli btw ya polytron ipo bagus prospeknya,Positif (+1),16.0,Negatif (-1),0.4998,BEDA ⚠️,
11,19735187,2025-07-31 13:33:18,"SAHAM YANG DORMANT 2 TAHUN DIAMBIL NEGARA..
NEGARA KONOHA

$CDIA $BBCA $BBRI",saham dormant diambil negara negara konoha,Netral (0),0.0,Negatif (-1),0.5078,BEDA ⚠️,
12,27480366,2026-01-28 14:58:35,"$IHSG Ayo Siap2 yang mau jual Jam tangan ORI, Jual Tas , Jual Sepatu Buat serok Banyakin peluru. Kalau dilemari sendiri habis , Nyari Koleksi Daddy dan Mommy Mana yang mau disedekahkan ke orang yang membutuhkan *Anak Sendiri🙏🏻😂 Canda ya  $BBCA $PTBA",ayo jual jam tangan ori jual tas jual sepatu beli banyakin peluru dilemari habis nyari koleksi daddy mommy disedekahkan orang membutuhkan anak canda ya,Positif (+1),10.0,Negatif (-1),0.4141,BEDA ⚠️,
13,21228512,2025-09-23 09:32:04,"Edukasi Saham: Jangan Cutloss Karena Panik

Kesalahan ritel yang sering terjadi adalah cutloss hanya karena melihat harga turun sebentar. Padahal, penurunan kecil belum tentu mengubah tren utama saham tersebut. Cutloss seharusnya dilakukan sesuai trading plan, bukan karena emosi sesaat. Dengan disiplin, kita bisa membedakan mana koreksi wajar dan mana sinyal bahaya.

🎯 Bantu edukasi ini tembus 75 like dan dukung akun ini menuju 1200 followers, supaya saya makin semangat berbagi insight saham untuk ritel.

$IHSG
$EMAS
$BBCA",edukasi saham jangan rugi panik kesalahan ritel rugi harga turun sebentar penurunan belum mengubah tren utama saham rugi sesuai trading plan bukan emosi disiplin membedakan koreksi wajar sinyal jelek rugi bantu edukasi tembus like dukung akun followers semangat berbagi insight saham ritel,Negatif (-1),-4.5,Negatif (-1),0.5115,SAMA ✅,
14,20176888,2025-08-18 08:31:36,"$BBCA

Apakah bisa 51% saham BBCA diambil pemerintah tanpa biaya.",saham bbca diambil pemerintah tanpa biaya,Netral (0),0.0,Negatif (-1),0.4898,BEDA ⚠️,
15,18162072,2025-04-11 15:22:31,"Investing: bertaruh terhadap kinerja perusahaan.

Trading: bertaruh terhadap pergerakan chart.

$BBCA $BREN $PANI",investing bertaruh kinerja perusahaan trading bertaruh pergerakan chart,Netral (0),0.0,Negatif (-1),0.5266,BEDA ⚠️,
16,20624434,2025-09-03 17:15:07,"Indeks Harga Saham Gabungan atau IHSG ditutup naik 1,08% ke level 7.885 pada penutupan perdagangan, Rabu (3/9). Sebanyak 400 saham menguat, 275 saham terkoreksi dan 126 saham tidak bergerak hari ini.
Melansir data perdagangan Bursa Efek Indonesia, volume perdagangan hari ini sebesar 37,85 miliar sah...",indeks harga saham gabungan ihsg ditutup level penutupan perdagangan rabu saham menguat saham terkoreksi saham tidak bergerak melansir data perdagangan bursa efek indonesia volume perdagangan miliar sah,Netral (0),0.0,Negatif (-1),0.5159,BEDA ⚠️,
17,17996316,2025-03-21 15:49:03,$BBCA   $BMRI trauma liat portonya kaya era covid beneran terjun payung tpi ga pake payung... tpi 1-2 tahun dari ini bisa pulih lagi dont worry to much $BBRI,trauma liat portonya kaya era covid beneran turun rugi payung tpi tidak pake payung tpi pulih dont worry to much,Positif (+1),4.0,Negatif (-1),0.4857,BEDA ⚠️,
18,17966770,2025-03-20 07:14:02,@deathstroke7103 Kalo asing terus menjual tdk ada yg beli. bisa semakin dalam .Untung petinggi BCA dan investor kawakan BCA mulai serok. apakah ini bisa bertahan terus?. Kalo resesi tentu mempengaruhi kinerja $BBCA di masa mentang,kalo asing menjual tidak yg beli untung petinggi bca investor kawakan bca beli bertahan kalo resesi mempengaruhi kinerja mentang,Netral (0),0.0,Negatif (-1),0.4825,BEDA ⚠️,
19,18463544,2025-05-08 10:42:05,"$BBRI saya setia menunggumu di harga bawah bang, mau nambah muatan 😁
$BBNI $BBCA",setia menunggumu harga bang nambah muatan,Negatif (-1),-9.0,Negatif (-1),0.4152,SAMA ✅,
20,6451403,2021-06-03 15:56:35,"Duh! Bos BCA Sedih e-Commerce RI Banjir Barang Impor

Presiden Direktur PT Bank Central Asia Tbk (BBCA) Jahja Setiaatmadja mengatakan 90% lebih produk yang dijual di e-commerce yang terdapat di Indonesia bukan produksi dalam negeri, melainkan produk impor.

“E-commerce di Indonesia ini sudah banyak, ada Tokopedia, Bukalapak, Shopee, dan lain-lain. Kalau kita lihat 90 persen lebih produk dari mana? Bukan UMKM (usaha mikro, kecil, dan menengah) kita, ini yang menyedihkan. Itu import goods,” kata Jahja Setiaatmadja dalam webinar digitalisasi UMKM dan sistem pembayaran 2025 yang dipantau di Jakarta. $BBCA https://www.trenasia.com/duh-bos-bca-sedih-e-commerce-ri-banjir-barang-impor/",duh bos bca sedih commerce ri banjir barang impor presiden direktur pt bank central asia tbk bbca jahja setiaatmadja produk dijual commerce indonesia bukan produksi negeri produk impor commerce indonesia tokopedia bukalapak shopee lihat persen produk bukan umkm usaha mikro menengah menyedihkan import goods jahja setiaatmadja webinar digitalisasi umkm sistem pembayaran dipantau jakarta,Positif (+1),10.0,Negatif (-1),0.4511,BEDA ⚠️,
21,27459222,2026-01-28 13:01:46,"Bukan ko asing ga ingin keluar $BUMI, $PTRO. Tapi gabisa keluar dari 2 saham itu karena lock ARB di offer. 

Jadi salute karena top sell justru $BBCA itu salah besar, karena asing masih bisa buang BBCA tanpa ARB.


@ARMSID",bukan ko asing tidak gabisa saham lock turun offer salute top sell salah asing buang bbca tanpa turun,Negatif (-1),-6.0,Negatif (-1),0.4467,SAMA ✅,
22,17610440,2025-02-22 23:10:30,"PT Bank Central Asia Tbk (BCA) terus melakukan penguatan sistem teknologi informasi (TI) di pesatnya tengah perkembangan transaksi digital dan meningkatkan jumlah nasabah yang harus dilayani.   Hal itu dilakukan untuk memastikan nasabah bisa melakukan transaksi dengan mudah dan aman.  Apalagi, jum...",pt bank central asia tbk bca penguatan sistem teknologi informasi ti pesatnya perkembangan transaksi digital meningkatkan nasabah dilayani nasabah transaksi mudah aman jum,Positif (+1),12.0,Negatif (-1),0.434,BEDA ⚠️,
23,17627677,2025-02-24 17:10:14,"➖ US Dollar Index DXY sempat turun menyentuh kisaran 106,1 merespon perkembangan pemilu di Jerman.

Namun saat ini sudah kembali naik ke kisaran 106,6.

$USDIDR $IHSG $BBCA",us dollar index dxy turun menyentuh kisaran merespon perkembangan pemilu jerman kisaran,Positif (+1),2.0,Negatif (-1),0.4924,BEDA ⚠️,
24,24909838,2025-12-15 15:28:20,Ada yang tau kenapa saham perbankan lagi naik? mohon pencerahannya suhu 🫡 $BBRI$BMRI$BBCA,tau saham perbankan mohon pencerahannya suhu,Negatif (-1),-2.0,Negatif (-1),0.4564,SAMA ✅,
25,16043640,2024-10-14 17:20:43,kalo inget ini kok nyesel ya wkwkwk harusnya ikut beli anjay :) $KARW $PANI $ARTO $BBCA,kalo inget nyesel ya wkwkwk beli anjay,Positif (+1),1.0,Negatif (-1),0.4691,BEDA ⚠️,
26,17731450,2025-03-03 14:42:52,"@cie16 ya memang masih turun arah big banks, ini cuma DCB aja , 😉 $BBRI $BMRI $BBCA",ya turun big banks dcb aja,Positif (+1),2.0,Negatif (-1),0.4591,BEDA ⚠️,
27,32310229,2026-06-03 10:08:05,"harus nya pemerintah sadar betapa melemahnya ekonomi negara ini, sampai bank sebesar dan sekuat $BBCA runtuh juga😿

padahal tahun 2024 itu BBCA nyentuh 11.000😿 kita tidak butuh mbg, tapi kita butuh jaminan masa depan 😔 

kalau dollar terus menguat, apakah semakin banyak perusahaan yang akan melakukan pengurangan karyawan?💔",nya pemerintah sadar betapa melemahnya ekonomi negara bank sekuat runtuh bbca nyentuh tidak butuh mbg butuh jaminan dollar menguat perusahaan pengurangan karyawan,Positif (+1),4.0,Negatif (-1),0.4551,BEDA ⚠️,
28,5510652,2021-01-26 14:31:26,"$TLKM harga sekarang menarik gak ya untuk avg up? ada yg mau pungutin ini saham hari ini apa wns?

$IHSG $BBRI $BBCA",harga menarik tidak ya avg up yg pungutin saham wns,Netral (0),0.0,Negatif (-1),0.4924,BEDA ⚠️,
29,32332272,2026-06-03 12:49:11,"Return portofolio saya kemarin minus 6% di penutupan bursa, sekarang penutupan sesi 1 minus 8,83%... IHSG minus 5%. 
$BBRI $ASII $BBCA TLKM JSMR PGAS INDF ANTM
Amunisi Cash tinggal 50% dari total porto.... Juni - Juli cicil bertahap jika harga di area ""menarik"" yang sudah direncanakan. Timeframe investasi 3-5 tahun... #RitelPemula menuju 2029 dan 2034",return portofolio kemarin minus penutupan bursa penutupan sesi minus ihsg minus tlkm jsmr pgas indf antm amunisi cash tinggal total porto juni juli cicil bertahap harga area menarik direncanakan timeframe investasi ritelpemula,Netral (0),0.0,Negatif (-1),0.4773,BEDA ⚠️,
30,29625628,2026-03-16 08:05:01,"$BBCA Saham Big Bank ini kembali ke harga Okt 2021, 5 thn lalu",saham big bank harga okt thn,Netral (0),0.0,Negatif (-1),0.5167,BEDA ⚠️,
31,19490267,2025-07-22 14:34:07,serok bank apa ini bagusnya? bank konvensional $BBRI $BBCA atau banknya pak PP BREN $BRPT?,beli bank bagusnya bank konvensional banknya pp bren,Positif (+1),2.0,Negatif (-1),0.4913,BEDA ⚠️,
32,19056111,2025-06-30 15:36:32,$BBCA yg terbaik selalu menang.. klo bank pemerintah di swastain pst jauh lbh bgs dan bersih dari kkn.,yg terbaik menang bank pemerintah swastain pst lbh bgs bersih kkn,Positif (+1),9.0,Negatif (-1),0.4728,BEDA ⚠️,
33,19449992,2025-07-21 12:03:18,"$BBCA ku rasa danantara salah pencet buy
bukan bluechip malah gorengan di beli 🤣🤣🤣
$IHSG",ku danantara salah pencet buy bukan bluechip gorengan beli,Negatif (-1),-2.0,Negatif (-1),0.4059,SAMA ✅,
