Model,Config,MAPE (%),MAPE Std (%),RMSE (IDR),MAE (IDR)
LSTM,K1,3.43,0.44,313.44,240.0
GRU,K1,3.23,0.41,292.49,225.42
CNN,K1,8.18,2.95,685.33,549.52
LSTM,K2,2.47,0.05,249.48,169.82
GRU,K2,2.36,0.17,237.18,162.22
CNN,K2,3.54,0.46,321.37,244.25
LSTM,K3,2.28,0.04,221.18,155.39
GRU,K3,2.21,0.04,220.27,151.24
CNN,K3,3.3,0.18,297.55,229.01
LSTM,K4,3.3,0.74,305.69,229.97
GRU,K4,2.24,0.03,221.27,153.73
CNN,K4,3.93,0.63,347.0,273.71
LSTM,K5,2.36,0.0,235.27,161.26
GRU,K5,2.33,0.03,230.68,159.72
CNN,K5,8.35,3.36,709.96,552.8
