Model,Scenario,Config,MAPE (%),MAPE Std (%),RMSE (IDR),RMSE Std (IDR),MAE (IDR),MAE Std (IDR)
LSTM,S1,K1,5.89,0.08,456.11,2.29,414.17,1.34
GRU,S1,K1,3.11,0.12,270.4,7.93,210.33,8.7
CNN,S1,K1,5.17,0.98,470.3,103.7,368.38,73.86
LSTM,S2,K1,3.43,0.44,313.44,37.38,240.0,29.71
GRU,S2,K1,3.23,0.41,292.49,34.74,225.42,26.81
CNN,S2,K1,8.18,2.95,685.33,217.4,549.52,187.79
LSTM,S3,K1,3.24,0.04,295.01,8.37,228.43,2.47
GRU,S3,K1,3.3,0.84,300.32,74.58,227.98,59.26
CNN,S3,K1,5.55,1.58,515.05,129.2,401.68,122.22
LSTM,S1,K2,2.73,0.05,277.04,3.04,188.31,3.56
GRU,S1,K2,2.83,0.24,272.32,5.48,195.18,16.49
CNN,S1,K2,3.52,0.65,335.03,68.3,244.73,44.54
LSTM,S2,K2,2.47,0.05,249.48,5.55,169.82,3.18
GRU,S2,K2,2.36,0.17,237.18,19.55,162.22,11.26
CNN,S2,K2,3.54,0.46,321.37,31.76,244.25,28.57
LSTM,S3,K2,2.56,0.05,262.94,6.0,176.3,3.44
GRU,S3,K2,2.43,0.09,245.54,11.62,167.1,6.33
CNN,S3,K2,3.55,0.54,324.17,39.6,247.5,37.71
LSTM,S1,K3,2.61,0.07,253.91,1.07,179.6,4.74
GRU,S1,K3,2.45,0.11,230.15,8.98,169.05,7.71
CNN,S1,K3,3.4,0.29,306.43,31.36,236.25,18.87
LSTM,S2,K3,2.28,0.04,221.18,5.31,155.39,3.08
GRU,S2,K3,2.21,0.04,220.27,4.2,151.24,2.95
CNN,S2,K3,3.3,0.18,297.55,7.45,229.01,11.86
LSTM,S3,K3,2.35,0.04,233.98,5.35,162.22,3.2
GRU,S3,K3,2.2,0.07,219.04,9.42,150.2,5.32
CNN,S3,K3,3.79,0.3,338.33,18.93,261.58,22.17
LSTM,S1,K4,2.75,0.06,275.89,6.87,189.43,3.97
GRU,S1,K4,2.23,0.17,213.69,8.9,153.36,11.56
CNN,S1,K4,3.51,0.3,319.36,22.41,241.96,19.02
LSTM,S2,K4,3.3,0.74,305.69,54.98,229.97,52.04
GRU,S2,K4,2.24,0.03,221.27,2.64,153.73,2.3
CNN,S2,K4,3.93,0.63,347.0,45.62,273.71,45.22
LSTM,S3,K4,3.58,0.51,335.49,37.34,248.47,35.6
GRU,S3,K4,2.11,0.04,209.83,3.41,145.06,3.2
CNN,S3,K4,4.05,0.31,349.58,20.46,281.11,24.85
LSTM,S1,K5,2.59,0.02,255.39,2.09,177.6,1.61
GRU,S1,K5,2.5,0.08,245.99,10.18,171.63,5.55
CNN,S1,K5,5.25,1.13,486.97,90.0,379.13,90.59
LSTM,S2,K5,2.36,0.0,235.27,0.83,161.26,0.37
GRU,S2,K5,2.33,0.03,230.68,4.82,159.72,2.5
CNN,S2,K5,8.35,3.36,709.96,240.63,552.8,210.76
LSTM,S3,K5,2.39,0.01,242.01,1.52,163.87,0.76
GRU,S3,K5,2.36,0.04,237.89,5.34,161.99,3.15
CNN,S3,K5,5.21,1.51,471.48,117.09,351.12,91.81
